영단어,한국단어
Light Activated Negative,래너
Light Activated Silicon,광 SCR
Light Activated Switch,광 스위치
Light Beacon,등표
Light Bouy,등불부표
Light Displacement,경하배수량
Light Scantling Vessel,경구조선
Light Ship,등대선
Light Welding,경용접(輕熔接)
Light emitting diode,발광 다이오드
Light source,광원
Light soure colour;light,광원색
Lightening Hole,무게줄임구멍
Lighthouse Tender,등대 관리선
Lighting Fitting,조명 기구
Lightning Arrester,피뢰기(避雷器)
Lightning Stroke,뇌격
Lightning Surge,뇌 서지
Lightweight,경하중량(輕荷重量)
Lignum Vitae,리그넘바이터
Limber Hole,림버구멍
Limit Gauge,한계게이지
Limit Switch,리밋 스위치
Limited Waters,제한 수역
Limiting Factors,제약적 요인
Line Balancing,공정간의 균형화
Line Constant,선로 상수
Line Control Unit,회선 제어 유닛
Line Current,선로 전류
Line Hauler,주낚줄감개
Line Heating,선상 가열(線狀加熱)
Line Voltage,선간 전압
Linear Expansion,선팽창(線膨脹)
Liner,정기선
Lining,라이닝
Liquefaction,액화
Liquefied Gas Tanker,액화가스탱커
Liquid Cargo,액체화물
Liquid Crystal Display,액정 표시 장치
Liquid Gasket,액체 가스켓
Liquid Oxygen,액화 산소
Liquified Gas,액화 가스
List,경사(傾斜)
Listening Rod,청음봉
Live Fish Carrier,활어운반선
Live Load,활하중
Living Quarters,거주구역(居住區域)
Living Space,거주 구역
Lloyd's Register of,영국 선급 협회
Load,부하
Load Balancing,부하 평준화(平準化)
Load Capacity,부하 용량
Load Curve,부하 곡선(負荷曲線)
Load Factor,부하율
Load Line Disk,만재흘수원표
Load Line Marks,만재흘수선
Load Test,부하 시험
Load Water Line,만재 흘수선
Loading Condition,적하상태(積荷狀態)
Local Area Network,근거리 통신망
Local Area Network : LAN,근거리지역 통신망
Local Strength,국부 강도(局部强度)
Local vibration,국부 진동
Loft,현장본뜨기
Log,로그
Log Speed,대수속력
Long Bridge,장선교루
Long Crested Seas,장파정파
Long Lead Time Material,조달기간장기 자재
Long Liner,주낚어선
Long-Term Effects,장기 효과(長期效果)
Long-term Resource Mobilization Strategy,장기재원 마련전략
Longitudinal Beam,종보
Longitudinal Bulkhead,종격벽
Longitudinal Bulkhead(Longl. Bhd),종격벽(縱隔壁)
Longitudinal Center of Buoyancy,종부심
Longitudinal Metacenter,종메티센터
Longitudinal Space (L.S),종통재(縱通材) 간격
Longitudinal Stability,종안정성
Longitudinal Strake,종보강재
Longitudinal Strength,종 강도(縱强度)
Longitudinal Vibration,종진동
Looking After,선미방향으로 봄
Looking Forward,선수방향으로 봄
Loran Chart,로란해도
Loran System,로란방식
Loss,낭비(浪費)
Loss of containers,컨테이너 유실
Lost Motion,헛돌기
Lounge,라운지
Louver,통풍용 공기흡입창
Low Atmospheric Pressure,저기압(低氣壓)
Low Carbon Steel,저탄소강
Low Frequency,저주파
Low Noise Amplifier,저잡음 증폭기
Low Sea Suction Valve,하부해수흡입밸브
Low Temperature Embrittlement,저온취성
Low Temperature Stress Relieving,저온응력제거
Low-flashpoint fuel,저인화점 연료
Lower management,현장 관리자
Lowest Usable Frequency,최저 사용 주파수
Lub. Oil Storage Tank (L.O Stor. Tk),윤활유 저장탱크
Lubricant,윤활제
Lubricating Oil : LO,윤활유
Lubricating Oil Pipe(L.O Pipe),윤활유관(潤滑油管)
Lubricator,주유기(注油器)
Luffing Cylinder,러핑 실린더
Luffing Davit,러핑대빗
Lumen,루멘
Lumen method; flux method,광속법
Luminaire for explosive,방폭조명기구
Luminous ceiling,광 천정
Luminous exitance,광속 발산도
Luminous flux maintenance,광속 유지율
Luminous intensity,광도
Luminous range,가시거리
Lurch,불규칙최대경사각
Lux,룩스
M/V (Motor Vessel),내연기선(內燃機船)
MACHINE OPERATER,기계 작동자
MACHINERY ARRANGEMENT,기관실 배치도
MACHINERY CENTRALIZED OPERATED,DNV(노르웨이 선급) 무인화등급
MACHINERY CONTROL ROOM,기관제어실
MAGNETIC BUBBLE MEMORY,자기 버블 기억장치
MAGNETIC DIRECTION INDICATOR,자기 방향 지시기
MAGNETIC INK CHARACTER READER,자기 잉크 문자 판독장치
MAGNETIC PARTICLE TEST,자기탐상검사
MAGNETIC PARTICLE TEST(INSPECTION),자분탐상검사
MAGNETIC PERMEABILITY,투자율
MAGNETO HYDRODYNAMICS GENERATION,전자 유체 역학 발전
MAIL TRANSFER,우편 송금
MAIN CIRCUIT BREAKER,주개폐기
MAIN DISTRIBUTION FRAME,주배선반
MAIN ENGINE,주기관
MAIN SWITCH BOARD,주배전반
MAINTENANCE TO QUALITY,품질보전
MALAYSIAN INTERNATIONAL SHIPPING CORPORATION,말레이지아 국영선사
MAN HOLE,맨 홀
MANAGEMENT INFORMATION SYSTEM,경영 정보 시스템
MANUFACTURER'S DESIGN,제작자설계보고서
MANUFACTURER'S DESIGN REPORT,제작자설계보고서
MANUFACTURING AUTOMATION PROTOCOL,제조 자동화 프로토콜
MANUFACTURING COLLABORATION,업무 제휴
MANUFACTURING DATA,제작자료기록서
MANUFACTURING DATA RECORD BOOK,제작자료기록서
MARINE DIESEL OIL,해상용 디젤 연료유(경유)
MARINE ENVIRONMENTAL PROTECTION COMMITTEE,해상환경보호위원회
MARINE GROWTH PROTECTION SYSTEM,해상생성물 고착방지 장치
MARITIME ADMINISTRATION OF DEPARTMENT OF TRANSPORTATION,미국 해사청
MARITIME SAFETY COMMITTEE,IMO 해사안전위원회
MARITIME TRANSPORT COMMITTEE,OECD 해운위원회
MARKING INSPECTION,마킹 검사
MARPOL(The Prevention of Marine Pollution from Ships),해상오염 방지협약
MATE'S RECEIPT,본선 수취증
MATERIAL,자재
MATERIAL REQUIREMENT SHEET,자재 소요 요구서
MATERIAL SPECIFICATION CODE,자재 부품번호
MAXIMUM CONTINUOUS RATING,최대 연속 출력
MAXIMUM USABLE FREQUENCY,최고 사용 주파수
MAXWELL BRIDGE,맥스웰 브리지
MAXWELL'S ELECTROMAGNETIC EQUATION,맥스웰의 전자방정식
MBM,시장기반조치
MBO (Management by Objectives),목표관리(目標管理)
MCC,임무조정본부
MCP,해사정보 공유체계
MCR(Maximum Continuous Rating),연속최대 출력
MCT (Multi Cable Transit),엠씨티 (다중 전선의 격벽관통 형식)
MDO(Marine Diesel Oil),해상용 디젤유
MDTF,다자 신탁기금
MEAN DRAFT,평균 홀수
MEAN TIME BETWEEN ERROR,평균 오류시간
MEAN TIME BETWEEN FAILURE,평균 고장 간격 시간
MEAN TIME TO FAILURE,평균 고장 시간
MEAN TIME TO REPAIR,평균 수리 시간
MEAN UP TIME,평균 동작 시간
MECHANICAL STRESS RELIEVING,기계적 응력 제거
"MEDICAL ELECTRONICS , MICRO ELECTRONICS,",의용 전자공학
MEDIUM AREA NETWORK,중규모 지역 통신망
MEDIUM FREQUENCY WAVE,중파
MEGA BYTE,컴퓨터 용량 표시 단위
MEGOHM,저항 단위
MENA,MENA
MEOSAR,중궤도 위성 조난안전 시스템
MEP(Mean Effective Pressure),평균 유효압력
MEPC(Maritime Environment Protection Committee),해양환경보호 위원회(IMO)
METACENTRIC HEIGHT,메타센터 높이
METAL CLAD,전선형태
METAL CLAD CIRCUIT BREAKER,차단기
METAL INERT GAS ARC WELDING,MIG 용접
METAL INERT GAS WELDING,MIG 용접
METAL INSULATED SEMICONDUCTOR IC,미스 IC
METAL NITRIDE OXIDE SEMICONDUCTOR,금속 질화 산화막 반도체
METAL OXIDE SEMICONDUCTOR,금속 산화막 반도체
METAL SEMICONDUCTOR FIELDEFFECT,금속반도체 효과 트랜지스터
METALLOGRAPHIC TEST,금속조직학 검사
METRIC TON,미터톤
MF Radio,중파대역 무선통신장비
MGPS(Marine Growth Preventing System),해양생물 성장억제 장치
MHB,산적 상태에서만 위험한 물질
MICACEOUS(SPARKLING) IRON OXIDE,"내후성, 내약품성, 우수중 방식도로"
MICRO PROCESSING UNIT,컴퓨터 처리 장치
MICROCOMPUTER DEVELOPMENT SYSTEM,마이크로 컴퓨터 개발
MICRONS,도막두께 측정치
MIDSHIP SECTION COEFFICIENT,중앙횡단면 계수
MIG(Metal Inert Gas Arc Welding),미그(MIG) 용접
MIL (Military Specifications and Standard),미국국방성표준규격
MILITARY SPECIFICATION AND STANDARDS,군용 사양 및 표준(미군 규격)
MILL SCALE,흑피
MILLION INTRUCTION PER SECOND,컴퓨터 성능 표시 단위
MINISTRY OF FOREIGN AFFAIRS & TRADE,외교통상부(통상산업부에서 개칭됨)
MIP(Mean Indicating Pressure),평균지시압력
MIR,해사 사용자 관리 및 인증체계
MLF (Material List of Fitting),설치자재목록
MMS,해사 메시지 관리체계
MMSI,해상이동업무 식별부호
MMSI (maritime Mobile Service Identification No.),해상이동통신 식별번호
MODU Code,이동식 해양굴착구조물 기준
MODULATOR - DEMODULATOR,컴퓨터간 통신을 위한 장치
MOLECULAR BEAM EPITAXY,분자선 에피탁시
MOMENT TO CHANGE onE CENTIMETER TRIM,1 CM 트림당 변화시킬 수 있는 모멘트
MONOLITHIC MICROWAVE IC,모노리식 마이크로파 집적회로
MOOING TRIAL / MAIN TURBINE,안벽시험/주터어빈
MOS FET,금속 산화막 반도체 전계효과
MOTOR,입력과 역률 ( 전동기 )
MOTOR CONTROL CENTER,모타제어반절연저항시험
MOTOR PROTECTION,전동기 보호방식
MOULDED DEPTH,형깊이
MP,해양오염물질
MP (Maintenance Prevention),보전예방(保全豫防)
MPI (Magnetic Particle Inspection),자분탐상 검사
MRCC,해상구조조정본부
MRN,해사사용자 식별자
MRP (Material Requirement Planning),자재 소요계획
MRV,온실가스 배출량 산정·보고·검증
MS,해사 서비스
MSBD(Main Switchboard),주배전반(主配電盤)
MSC(Maritime Safety Committee),해사안전 위원회(IMO)
MSDS,물질안전보건자료
MSI,해사안전정보
MSR,해사 서비스 관리 및 인증체계
MSW,해상싱글윈도우
MTC(Maritime Transport Committee),해사위원회(OECD)
MTCC,해사기술협력센터
MULTIPLEX,다중화
MUTUAL IMPEDANCE,상호 임피던스
MUTUAL INDUCTION,상호 유도
MVZ,주수직구역
Mach Number,마하수
Machinability,절삭성
Machine Down Time,기계중단기간
Machine Scheduling Plan,기계일정계획
Machine Shop,기계 공장
Machine Utilization Table,기계 이용표
Machinery Installation,기계 설치
Machinery Lay-Up,기계 장기 휴지(休止)
Machinery Space,기관 구역(機關區域)
Machining Allowance,기계가공 여유(餘裕)
Macro Bifouling,대형 생물오손
Magazine,화약고
Magnet Crane,전자(電磁) 크레인
Magneti Crane,자석기중기
Magnetic Blow,자기쏠림
Magnetic Bubble Memory,자기 버블 기억장치
Magnetic Compass,자기(磁氣) 콤파스
Magnetic Compass Pilot,자기컴퍼스자동조타장치
Magnetic Direction Indicator,자기 방향 지시기
Magnetic Ink Character,자기 잉크 문자 판독장치
Magnetic Permeability,투자율
Magnetic Sensor,자기센서
Magnetic Strainer,자석기름거르개
Magnetic Variation,자기변동
Magneto ( Machine ),자석발전기
Magneto Hydrodynamics,전자 유체 역학 발전
Magnetometric Sensing Vessel,자기탐사선
Maiden Voyage,처녀 항해(處女航海)
Maier Form,마이어선형
Main Air Compressor,주공기압축기
Main Anchor,주앵커
Main Ballast Tank,주밸러스트탱크
Main Circuit Breaker,주개폐기
Main Control Console,주제어반(主制御盤)
Main Deck,주갑판
Main Diesel Engine,주디젤기관
Main Dimensions,주요 치수
Main Distribution Frame,주배선반
Main Fleet,주력함대
Main Frame,정늑골재
Main Gas Turbine,주기가스터빈
Main Generator,주발전기
Main Gun,주포
Main Hull,주선체
Main Plate,주판(主板)
Main Reduction Gear,주감속장치
Main Switch,주개폐기
Main Turbine,주터빈
Maintainability,정비 용이성
Maintenance Hatch,정비용 해치
Maintenance Scheme,정비 계획(整備計劃)
Maintenance and Repair Team,정비 수리팀
Maintenance and Supply,정비및 보급
Make-up Pipe,현장맞춤관
Maker Drawing,제조업자 도면
Maker`s Certificate,제조자발행증명서
Makeup Water,보충수(補充水)
Malleable Cast Iron,가단주철
Man-Hour Cumulative Schedule,누적 시수계획
Management Information,경영 정보 시스템
Management Training Program,관리자 훈련계획
Manager Board,물막이
Mandrel,맨드렐
Maneuvering Test,조종성(操縱性) 시험
Manhole Cover,맨 호올 카바
Manifest,목록
Manipulator,매니퓰레이터
Manpower Planning,인력 계획(人力計劃)
Manpower Utilization,인력 운용
Manual Alarm System,수동경보장치
Manufacture Drawing,제작도면(製作圖面)
Manufacturing Automation,제조 자동화 프로토콜
Manufacturing Lead Time,제작소요기간
Mapping,매핑
MarAd (U.S. Maritime Administration),미국 해사청
Margin Plate,마아진 판
Marine Boiler,선박용보일러
Marine Casualty / Marine Incident,해양사고 / 해양사건
Marine Disaster Inquiry Agency,해난심판소
Marine Engineer,조기기사
Marine Environment,해양 환경
Marine Fire Fighting System,선박소방설비
Marine Growth Prevention System (MGPS),해양생물 성장방지시스템
Marine Seismic Profiling System,해저지층탐사장치
Marine Turbine,선박용터빈
Maritime Authority,해운관청(海運官廳)
Maritime Autonomous Surface Ships (MASS),자율운항선박
Maritime Cloud,해사 클라우드
Maritime Labour Convention 2006,2006년 해사노동협약
Maritime Security,해상보안
Maritime lien,선박우선특권
Marking,마킹
Marking Inspection,마킹 검사
Marking of Fishing Gear,어구 마킹
Marline,마알린
Marrying Wedge,쐐기불록
Masking Tape,도장오손방지테이프
Mass Density,질량밀도
Mast Table,마스트테이블
Master Compass,주컴퍼스
Master Schedule,대일정(大日程) 계획
Master Station,주전파국
Matching,매칭
Material Deficiency Report,자재결함 보고서
Material Handling,자재취급운반
Material List,자재 목록
Material Preparation,자재 준비(資材準備)
Material Procurement,자재 구매
Material Specification,자재 사양서(仕樣書)
Material Stowage and Issuing Plan,자재저장／불출계획
Mating Surface,결합면(結合面)
Matting Runner,통로용매트
Maximum Continuous Rating : MCR,최대연속정격출력
Maximum Speed,최대속력
Maximum Transfer in Stopping,정지시최대가로이동거리
Maximum Transverse Section,최대횡단면적
Maximum Usable Frequency,최고 사용 주파수
Maximum Voltage,최고전압
Maximum Waterplane,최대수선면
Maximum Working Pressure,최대사용압력
Maxwell Bridge,맥스웰 브리지
Maxwell's Electromagnetic,맥스웰의 전자방정식
Mean Draft,평균 흘수(平均吃水)
Mean Increase in Power in Waves,파중평균동력증가
Mean Increase in Rate of Revolutions in Waves,파중평균회전수증가
Mean Pitch,평균피치
Mean Speed,평균속력
Mean Time Between Failure,평균 고장 간격 시간
Mean Time To Failure,평균 고장 시간
Mean Time To Repair,평균 수리 시간
Mean Time between Error,평균 오류시간
Mean Time to Failure,고장평균시간
Mean Up Time,평균 동작 시간
Measured Mile Course,속력시험항로
Measured Mile Trial,표주간속력시험
Measures to prevent unlawful practices,불법행위 방지대책
Measuring Procedure,계측 순서(計測順序)
Meat Carrier,육류운반선
Mechanical Efficiency,기계효율(機械效率)
Mechanical Hazard,기계적 위험
Mechanical Properties,기계적 성질(性質)
"Medical Electronics , Micro",의용 전자공학
Medium Area Network,중규모 지역 통신망
Medium Frequency wave,중파
Megger Test,절연저항 시험
Melting Point,융점(融點)
Melting Rate,용융속도
Memorandum of Understanding (MoU),양해각서
Merchant Ship,상선
Mercury Boiler,수은보일러
Messenger Chain,작동체인
Metacenter,메타센터
Metacentric Height,메타센터 높이
Metal Arc Welding,금속 아크용접
Metal Clad,전선형태
Metal Clad Circuit Breaker,차단기
Metal Insulated,미스 IC
Metal Nitride Oxide,금속 질화 산화막 반도체
Metal Oxide Semiconductor,금속 산화막 반도체
Metal Semiconductor,금속반도체 효과 트랜지스터
Meteorological Observation Ship,해양기상관측선
Method IC,IC 방식
Method IIC,IIC 방식
Method IIIC,IIIC 방식
Michell Thrust Bearing,미첼식 스러스트 베어링
Micro Bifouling,미세 생물오손
Micro-Plastics,미세플라스틱
Microcomputer Development,마이크로 컴퓨터 개발
Micrometer,마이크로미터
Micrometer (㎛),길이단위 (1/1000 mm)
Microscopic Examination,현미경시험
Microstructure,미세 구조(微細構造)
Middle Body,중앙부선체
Middle Management,중간 관리자
Middlength Beam,중앙부폭
Midship,선체중앙
Midship Coefficient,중앙횡단면계수
Midship Engine,중앙기관
Midship Frame,중앙부늑골
Midship House,중앙부갑판실
Midship Section,중앙횡단면도
Midship Section Coefficient,중앙 횡단면계수
Midship Section Drawing,중앙횡단면도
Mil,밀(1/1000 inch)
Milepost,표주
Milling Cutter,밀링커터
Mineral Oil,광유
Mineralizer,무기물 투여기
Minimum Freeboard,최소건현
Minimum Revolution Test,최저회전수 시험
Minor Assembly,소조립(小組立)
Miscellaneous Machinery,기타 기계장비
Mixed Cargo,혼합화물
Mixing Chamber,혼합실
Mobile Scaffolds,이동식 작업대
Mock-Up,현도(실물크기 모형)
Model Test,모형시험(模型試驗)
Moderate-Size Shipyard,중형 조선소
Modular Construction,모듀울방식 건조
Moisture Resistant Insulating Material,내습성 절연재료
Molases Tanker,당밀운반선
Mold Loft,현도장(現圖場)
Molded Depth,형깊이
Molded Dimension,형치수
Molder,주형공
Molecular Beam Epitaxy,분자선 에피탁시
Molten Metal,용융금속
Molten Pool,용융 풀
Moment of Force,힘의 모멘트
Monitor Productivity Improvement,생산성 향상의 감시
Monkey Island,콤파스 데크
Monolithic Microwave IC,모노리식 마이크로파 집적회로
Monolithic Ship,단일재구조선
Mooring,계류
Mooring Arr't,계선장치
Mooring Buoy,계류 부이
Mooring Pipe,계류 파이프
Mooring Trial,계류시운전
Mooring Winch,계류 윈치
Morse Code,모스부호
Mortgage of ship,선박저당권
Motion Study,동작연구(動作硏究)
Motion of Electrode,운봉법(용접 運棒法)
Motivation,동기부여(動機賦與)
Motivation for Worker,작업자 동기부여
Motor,입력과 역률 ( 전동기 )
Motor Fan,전동송풍기
Motor Siren,전동사이렌
Motor protection,전동기 보호방식
Motorboat,모터보트
Moulded Dimension,형촌법(型寸法)
Moulded Line,형선(型線)
Moulding Machine,주형기계
Mount the Boring Bar,보링용 Bar설치
Mounting Angle,취부각도(取付角度)
Mouth Piece,송화구
Movable Ramp,이동식(移動式) 렘프
Movable Shelter,이동식 셀타
Mrine Growth Preventing Equipment,해양생물부착방지장치
Mud Box,머드 박스
Multi-chanel Echo Sounder,다소자 음향측심기
Multi-core Cable,다심(多芯) 케이블
Multi-core Tube,다심 튜우브
Multi-layer Weld,다층용접
Multi-purpose Cargo Ship,다목적화물선
Multiple Diesel Enhine,다중 디젤기관
Multiple Operater Welding Machine,복식용접기
Multiple Resistance Welding,다점저항용접
Multiple Screw Ship,다축선(다추진기선)
Multiple-electrode Spot Welding Machine,다전극 점용접기
Multiplex,다중화
Multiplex Safty Glass,다층안전유리
Multipurpose Cargo Ship,다목적 화물선
Mushroom Anchor,버섯모양 앵커
Mushroom Ventilator,버섯형 통풍기
Muster List,비상 배치표
Mutual Impedance,상호 임피던스
Mutual Induction,상호 유도
NARROW GAP WELD'G,협개선용접
NAS(National Aerospace Standard),미국 항공우주 규격
NATIONAL ASSOCIATION OF CORROSION,국제 방식 기술자 협회
NATIONAL ASSOCIATION OF CORROSION ENGINEERS,국제 부식기사 협회
NATIONAL ELECTRICAL MANUFACTURERS,국제 전기 제작 협회
NATIONAL INFORMATION SYSTEM,국가 정보 시스템
NATIONAL SCIENCE TEACHERS ASSOCIATION,전미과학교사협회
NATIONALLY RECOGNIZED TESTING,국가인정시험소
NAUTICAL MILE,해상 마일 (약 1.852 Km)
NAVIGATION CONSOLE,항해 CONSOLE
NBDP,협대역 직접인쇄 전신
NBR (Nitril Butadiene Rubber),합성고무의 일종
NC (Numerical Control),수치 제어(數値制御)
NC Machine,수치제어 기계
NCR(Non-Conformity Report),불일치 보고서
NCR(Normal Continuous Rating),정상 연속출력
NDE : Non-destructive Evaluation,엔디이
NDT : Non-destructive Test,엔디티
NDT(Nondestructive Test),비파괴(非破壞) 검사(檢査
NEGATIVE-GLOW LAMP,네온램프
NEGATIVEPHASE RELAY,역상 계전기
NEGATIVEPHASESEQUENCE COMPONENT,역상분
NEODYMIUM PENTAPHOSPHATE,네노디움 (5 인화 )
NEON TRANSFORMER,네온 변압기
NEON TUBE,네온관
NET TONNAGE,순톤수
NETWORK CONTROL UNIT,망 제어 장치
NEUTRAL,중성선
NEWLY INDUSTRIALIZING ECONOMICS,"놀라운 경제발전을 이룩한 대만, 홍콩,싱가폴, 한국등 아시아 국가"
NF (Norme Framaise),프랑스 표준규격
NFB(No Fuse Breaker),배선용 차단기
NIPPON KAIJI KYOKAI,일본해사협회
NIR,신규점검제도
NITROGEN,"化 : 질소, 원자번호7"
NITROGEN OXIDE,질화물
NK (Nippon Kaiji Kyokai),일본 선급(船級)
NM ( Nautical Mile),해리(1해리=1852m)
NMD ( Norwegian Maritime Directorate),노르웨이 해운국
NMFT,비차별원칙
NMTP,국가해상운송정책
NNSS (Navy Navigation Satellite System),항행위성수신장치
NO COMMERCIAL VALUE,환 가치 없음(무환)
NO FUSE BREAKER,배선용 차단기
NOLOAD LOSS,무부하손
NOLOAD SATURATION VOLTAGE,무부하 포화전압
NOMINAL RATING,공칭 정격
NOMINAL TRANSFORMATION RATIO,공칭 변압비
NON CORFORMITY NOTE,외부심사지적사항
NON DESTRUCTIVE EXAMINATION,비파괴 시험
NON DESTRUCTIVE TEST,비파괴검사
NON RETURN TO ZERO,비 복귀기록
NON RETURN TO ZERO INVERTED,비 제로 복귀 반전
NON WATER TIGHT,비수밀
NON-CONFORMITY REPORT,불일치 보고서
NON-DESTRUCTIVE TEST,비파괴검사
NONCONFORMITY REPORT,부적합보고서
NONPROLIFERATION TREATY,비핵확산 조약
NONSALIENT MACHINE,비돌극기
NORMAL CONTINUOUS RATING,정상연속 출력
NORTH AMERICAN FREE TRADE AGREEMENT,북미 자유무역협정
NOWPAP,북·서태평양 보전실천계획
NOx,질소산화물
NPSH(Net Positive Suction Head),유효 흡입양정
NS (Norske Standard),노르웨이 표준규격
NSC (Norwegian Shipping Control Act),노르웨이 해운선박법
NSRP (National Shipbuilding Research Program),미국국책 조선(造船)연구 프로그램
NSW,국가싱글윈도우
NT (Net Tonnage),순톤수
NUC (Not-Under Command) Light,운전부자유등(燈)
NUCLEAR MAGNETIC RESONANCE,핵 자기 공명
NUMERICAL CONTROL,수치제어에 의한 자동화 정비에 쓰이는 말
NWT Door (Nonwatertight Door),비수밀문(非水密門)
Naked Hull,나선체
Nameplate,명판
Narrowgap Welding,내로갭 용접
Nast Housing,마스트밑방
National Action Plan (NAP),국가별 행동계획
National Association of,국제 방식 기술자 협회
National Electrical,국제 전기 제작 협회
National Information System,국가 정보 시스템
Nationally Recognized,국가인정시험소
Natural Convector,자연대류방열기
Natural Exhaust,자연배출(自然排出)
Nautical Almanac,항해력
Nautical Astronomy,항해천문학
Nautical Instrument,항해 기기(航海機器)
Naval Architecture,조선공학
Naval Dockyard,해군공창
Navigation Bridge Deck,항해 선교갑판
Navigation Bridge Visibility,항해선교 가시도
Navigation Equipment,항해기기
Navigation Light,항해등(航海燈)
Near miss / Near accident,아차사고 / 준사고
Near-coastal Voyages,연안항해
Needle Valve,니이들 밸브
Negative Buoyancy Tank,음부력탱크
Negative Stability,음복원력
Negative-glow lamp,네온램프
Negativephase Relay,역상 계전기
Negativephasesequence,역상분
Negligence,과실
Neodymium Pentaphosphate,네노디움 (5 인화 )
Neon Transformer,네온 변압기
Neon tube,네온관
Nesting,네스팅
Net Hauler,양망기
Net Layer,방잠망부설선
Net Sling,하역망
Net Steel Weight,순강재중량
Net Time,정미시간(正味時間)
Network Control Unit,망 제어 장치
Neutral,중성선
New Outputs,신규 작업과제
New module in GISIS on Registries,선박등록소에 관한 GISIS 모듈
Niche areas,취약 구역
Night Shift,교대근무시 야간근무
Nipple Joint,니플이음
Nl/minute,표준상태의 Ltr/min.
No Fuse Breaker,배선용 차단기
No-Load Running,무부하(無負荷) 운전
No-Load Test,무부하 시험
Noload Loss,무부하손
Noload Saturation Voltage,무부하 포화전압
Nominal Diameter,호칭지름
Nominal Diameter (N.D),호칭경，공칭직경
Nominal Horse Power,공칭마력
Nominal Pitch,호칭피치
Nominal Pressure,호칭압력
Nominal Size,호칭 치수(呼稱値數)
Nominal Transformation Ratio,공칭 변압비
Nominal rating,공칭 정격
Nomogram,계산도표/노모그램
Non Gas-shielded Arc Welding,논 가스쉴드 아크용접
Non Return to Zero,비 복귀기록
Non Return to Zero Inverted,비 제로 복귀 반전
Non-Conformity / Findings / Observations,부적합사항 / 발견사항 / 관찰사항
Non-Convention Ship,협약 비적용 선박
Non-Metallic Material,비금속 물질
Non-Return Valve,역지(逆止)밸브
Non-Sparking Tool,방폭공구(防爆工具)
Non-Statutory Spare Parts,법정외 예비품
Non-absorbent Material,비흡습재료
Non-consumable Electrode,비용극
Non-exhaustive List of obligations,의무사항 목록
Non-ferrous Metal,비철금속
Non-freezing Mixture,부동혼합액
Non-opening Side Scuttle Fixed Light,고정 원현창
Non-powered Vessel,무동력선
Noncombustible Material,불연성(不燃性) 재료
Nonconducting Material,부도체(不導體)
Nonferrous Metal,비철금속(非鐵金屬)
Nonmagnetic Material,비자성체(非磁性體)
Nonrotating Rope,비회전 로우프
Nonsalient Machine,비돌극기
Nonslip,미끌림 방지
Norch Coefficient,노치계수
Normal Condition,정상 상태(正常常態)
Normal Distribution,정상 분포
Normal Duration,정상 소요시간
Normal Working Hours,정상근로시간
Normalizing,노멀라이징
Notch Bend Test,노치굽힘시험
Notch Brittleness,놋치 취성
Notch Effect,노치효과
Notch Sensitivity,노치감도
Note Verbale,구술서
Noxious Substance,유해물질(有害物質)
Nozzle Ring,노즐 링
Nozzle-control Governing,노즐조절
Nuclear Fuel,핵연료
Nuclear Magnetic Resonance,핵 자기 공명
Nuclear Ship,원자력선
Nuclear Submarine,원자력잠수함
Num Buoy,타원형부표
Number One Oiler,조기장
Number of Coats,도장 횟수
Number of Maximum Continuous Revolution,최대연속회전수
Number of Stroke,행정수
Numerical Control Marking,수치제어마킹
Numerical Mould Method,수치현도법
Numerical Pennant,숫자기
O.G (Operation Guidance),운항지침
O.L (Operation Limitation),운항 제한
OA ( Office Automation),사무 자동화
OBO(Ore-Bulk-Oil Carrier),광살유(鑛撒油)겸용선
OCCASIONAL SURVEY,임시 검사
OCCUPATIONAL SAFETY HEALTH ADMINISTRATION,미국 안전공단 (컨테이너 하역과 관련)
OCIMF(Oil Companies' International Maritime Forum),석유회사 국제해사 평의회
OCR (Overcurrent Relay),과전류 계전기
OD(Outside Diameter),외경(外徑)
ODA,공적개발원조
ODME (Oil Discharge Monitoring Equipment),기름배출 감시장치
OECD (Organization for Economic Cooperation and Development),경재협력 개발기구
OECD DAC,개발원조위원회
OEM (Original Equipment Manufacturer),주문자 상표방식
OFE ( Owner Furnished Equipment),선주공급 장비
OFFICE AUTOMATION,사무 자동화
OFFICE FOR PRICE ADMINISTRATION,미국 가격행정청
OFFSHORE PROJECT,해양 사업
OGM,LRIT 운영관리주체
OIL CIRCUIT BREAKER,유입 차단기
OIL COMPANIES INTERNATIONAL MARINE FORUM,기름 회사 국제 해상 포럼(법정)
OIL TIGHT,유밀
OILING BARE,방청
OILING OILING,방청
ON HAND QUANTITY,보유 재고수량
ON LOAD TAP CHANGER,부하시 탭 전환장치
ON LOAD VOLTAGE REGULATOR,부하시 전압조정기
ON THE JOB TRAINING (OFF THE JOB TRAINING),작업을 통한 훈련 (사외 위탁교육)
OPEN CIRCUIT VOLTAGE,"변압기, 용접기의 무부하 전압"
OPERATING REGISTER,발진 레지스터
OPERATING SYSTEM,컴퓨터의 기본작동을 제어하는 최상위 운영 시스템
OPERATING TEST,작동 시험
OPS,육상전력공급장치
OPTICAL BISTABLE DEVICE,광 2 안정 소자
OPTICAL CHARACTER RECOGNITION,광학식 문자인식
OPTICAL FIBER TUBE,광 섬유관
OPTICAL MARK READER,광학식 마크 판독장치
OPTICAL REDIATION,광방사
