영단어|한국단어|설명
Flashing Light for Vessel Carrying Dangerous Cargo|위험물적재선박표시등|위험물 수송선박에 다는 등기구
Window Wiper|윈도와이퍼|조타실 전면창에 비나 눈으로 유리가 흐려지는 것을 제거하는 장치
Winch|윈치|체인이나 로프를 감아올리거나 내리는 데 쓰이는 갑판
Winch Man|윈치조종수|윈치를 운전하는 사람
Winch Platform|윈치프랫폼|윈치를 설치하고 운전하는 장소
Stock Anchor|유간대묘|스톡앵커와 동일
Universal Fairlead|유니버설페어리드|롤러를 통하여 상하좌우 어느방향으로든지 로프를 유도할 수 있는 페어리드
Unionmelt Welding|유니언멜트식 용접|서브머지드멜트용접(Submerged Melt Welding)과 동일
Union Joint|유니언연결|유니언나사와 유니언플랜지 사이에 개스킷을 끼우고 유니언너트로 조여서 연결하는 이음방식
Unit Switch|유닛스위치|선박용 분전상자 내의 분기회로를 신속히 통전하거나 차단하는데 사용되는 자동스위치
Stepped Bulkhead|유단격벽|벽면에 계단이 진 격벽
Induction Brazing|유도브레이징|공작물에 유도전류를 흘려 발생되는 저항열로 납을 녹여붙이는 경납땜
Induced Drag|유도항력|점성저항 이외에 소용돌이 발생 등과 같은 유체의 점성으로 유기되는 저항성분
Flow Pattern|유동가공방식|소재의 가공공정순서 대로 기계를 배치하여 소재의 이동과 작업진행을 일치시킴으로 능률을 높이는 공작방식
Pleasure Boat|유람선|유람용으로 쓰이는 배
Hydraulic Jack Unit|유랍잭유닛|유압실린더로 탑재구조물을 이동시키는 장치
Glass Wool Heat Insulating Material|유리섬유보온재|유리섬유로 된 보온재
Film Lubrication|유막윤활|마찰면 사이에 유막을 형성시켜 윤활하는 방법
Drifter|유망어선|유망을 사용하여 조업하는 어선
Oiltight Bulkhead|유밀격벅|기름이 새지 않게 만든 격벽
Oiltight Test|유밀시험|특정구역에서 기름이 새지 않는 것을 확인하는 시험
Oil Content Meter|유분농도계|수중의 유분농도를 측정하는 계기
Ice Patrol|유빙감시선|빙해역에서 유빙과의 충돌을 예방하기 위하여 이를 감시하는 선박
Semi-after Engined Vessel|유사선미기관선|준선미기관선과 동일
Streamline Rudder|유선타|단면형상이 유선형이 되도록 만든 타
Oil Paint|유성페인트|건조성이 좋은 기름에 안료를 배합하여 만든 페인트
Current Meter|유속계|유체의 흐르는 속도를 재는 계기
Core Electrode|유심용접봉|속이 빈 곳에 용제가 채워진 용접봉
Oil Brake|유압브레이크|유압으로 작동시키는 제동장치
Flexibility|유연성|물체의 변형하기 쉬운 성질
Usability Test|유용성검사|유용성을 판정하는 검사
Oil Dispersant Sprinkling Device|유처리제살포장치|기름의 화학처리제를 기름퍼진 해면에 살포하는 장치
Fluid|유체|기체와 액체의 총칭
Hydridynamics|유체역학|유체의 유동현상을 해석하는 학문
UT : Ultrasonic Test|유티|초음파탐상시험 참조
Effective Deck|유효갑판|강력갑판의 아래쪽에 있는 선체종강도 구성부재가 되는 갑판
Effective Power|유효동력|배가 저항을 이기고 어느 정도의 속력을 내면서 항해하는데 필요한 동력
Effective Hosepower : EHP|유효마력|유효동력과 같음
Effective Throat Thickness|유효목두께|용접단면에서 비드나 필릿의 솟아있는 살돋움 부분을 포함하지 않은 목두께
Available Energy|유효에너지|열기관 사이클에서 유효한 열로 변환시킬 수 있는 에너지
Available Heat|유효열량|열기관에 의해 유효열로 변환시킨 열량
Effective Lrngth of Weld|유효용접길이|비드의 출발점이나 종료점에 나타나는 크레이터등 용착이 불완전한 부분을 제외한 용접 길이
Meat Carrier|육류운반선|냉장설비를 갖춘 식육운반선
Sextant|육분의|선체의 고도를 측정하여 선박의 위치를 정확히 구하는 데 쓰이는 항해용 기구
Land Trial|육상시운전|주기나 보기류를 선박에 탑재하기 전에 육상에서 실시하는 시운전
Build-up Welding|육성(덧붙이)용접|마모된 표면과 칫수가 부족한 표면을 채우기 위하여 붙이는 덧살용접
Visual Inspection : VI or Appearance Test : AT|육안검사|외관검사 참조
Lubricating Oil : LO|윤활유|동작기계의 윤활에 사용되는 기름
LO Sludge Tank|윤활유 슬러지탱크|불순물이 많이 섞인 윤활유를 모으는 탱크
LO Dirty Tank|윤활유더티탱크|피스톤 롯의 스터핑박스에서 나오는 재생가능한 기름을 담는 탱크
LO Sump Tank|윤활유섬프탱크|주기나 보기에서 되돌아온 윤활유가 모이는 탱크
LO Gravity Tank|윤활유중력탱크|중력을 이용하여 윤활유를 공급하는 탱크
LO Purifier|윤활유청정기|윤활유 중의 수분과 고형물질을 제거해주는 원심분리기
Lubricant|윤활제|기계부품 간의 접촉부에서 마찰과 마모를 줄이고 마찰열을 흡수하는 작용물질
Raised Deck|융기갑판|전선루갑판과 동의어
Fusion Zone|융합부|용접부에서 모재와 용접금속이 녹아붙어 생긴 부분
Cathodic Protection|음극방식|전해질 중에서 부식이 일어나는 물체를 음극화하여 부식을 방지하는 전기화학적 방식방법
Sterilizer|음료수살균장치|음료수를 살균처리하는 장치
Cooper`s Store|음료품창고|음료품을 격납해두는 창고
Negative Stability|음복원력|배의 중심이 메타센터보다 높은 위치에있을 때 배를 바로 세우지 못하고 더 기울게 하는 힘
Negative Buoyancy Tank|음부력탱크|잠수함이 급히 잠수할 때 물을 채우는 탱크
Sonar : SOund NAvigation and Ranging|음탐기|음향탐지기
Echo Sounding|음향측심|배에서 발사한 음파가 해저에서 반사되어오는 시간 또는 시간의 차이를 비교하여 수심을 측정하는 방식
Freezing Point|응고점|동결점과 같음
Rudder Penant Chain|응급타체인|조타기 고장시 응급적으로 타를 수동 또는 전동조종하기 위한 체인
Response|응답|외부의 자극에 대한 계의 반응
Stress Relief Heat Treatment|응력제거열처리|변태점 이하나 재결정온도 이하로 가열하였다가 서서히 냉각시킴으로써 구조물의 내부응력을 해소시켜주는 방법
Stress Fatigue|응력피로|반복응력으로 인한 피로파단현상
Obliged Vessel|의무선|해상충돌방지 법규에 따라 침로와 속력 등을 변경하여 피항할 의무가 있는 선박
Compulsory Ship Station|의무선박국|선박안전접 법규에 따라 비치가 의무화된 선박의 무선국
Fitting Out Basin|의장부두|선대에서 진수된 배를 의장공사를 완성하기 위하여 배를 대는 부두
Bipot Mast|이각마스트|다리가 두 개로 된 마스트
Double Reduction Gear|이단감속장치|감속비가 큰 경우에 2단으로 감속시켜 원하는 회전수를 얻게 하는 감속장치
Double Air Compressor|이단공기압축기|완복동식 압축기에서 저압과 고압의 두 실린더를 직열로 연결하여 압축된 공기를 얻는 공기압축기
Eductor|이덕터|이젝터와 같은 작용으로 빌지를 흡입 배출하는 기구
Sliding Cylinder Double Acting Engine|이동실린더왕복동기관|증기왕복동기관에서 피스톤 대신에 실린더가 왕복운동을 하도록 된 기관
Traveling Crane|이동크레인|궤도상이나 노면상을 움직일 수 있는 크레인
Second Engineer|이등기관사|일등기관사를 보좌하면서 맡은 임무를 수행하는 기관사
Second Wirwless Operator|이등통신사|1등통신사를 보좌하면서 맡은 임무를 수행하는 통신사
Theoretical Throat|이론적 두께|필렛용접의 용착금속 단면에서 같은 각장을 갖는 삼각형 단면을 생각하여 그 높이에 상당하는 길이
Stem|이물|선수와 같은 뜻
Emitter|이미터|소리와 함께 시각신호도 같이 내는 신호장치
Emigrant Ship|이민선|이민을 실어나르는 배
Isherwood System|이셔우드식|종골식 선체구조방식
Root of Joint|이음의 루트|맞대기나 T이음에서 두 부재간에 벌어진 간격
Ejector|이젝터|노즐에서 고속으로 분출되는 유체속도에너지를 압력으로 변화시켜 다른 유체를 흡입하는 데 쓰는 기구
Double Hull|이중선각|선각이 두 겹으로 구성된 구조(선저와 선측만 두 겹임)
Dual Fuel Engine|이중연료기관|두 가지 연료(가스와 중유)를 사용할 수 있는 기관
Double Bottom|이중저|이중으로 구성된 선저
Double Bottom Construction Profile|이중저구조도|이중저부분을 선체중심선에 따라 종방향으로 절단한 구조를 나타내는 도면
Double Insulation|이중절연|충전부와 사람이 접촉할 염려가 있는 비도전금속부와의 사이에 기능절연과 보호절연을 같이 시공하는 것
Secondary Source|이차전원장치|1차전원에서 선내의 부하에 맞게 전압과 주파수 등을 변환하여 공급하는 전원장치
Expansion Hatch|익스팬션해치|온도상승에 따른 화물유의 팽창에 대비하여 창구코밍을 높게 한 해치
Artificial Seasoning|인공시효처리|인공적으로 시효처리를 촉진하는 것
Artificial Ventilation|인공통풍|인공적으로 외기를 통풍하는 것
Delivery|인도|주문받은 물건을 제작완료하여 주문자에게 넘겨주는 것
Inverter|인버터|직류전력을 교류전력으로 변환하는 장치
Tensile Strength|인장강도|인장시험에서 시험편이 파단되기 까지 가한 하중 가운데 최고하중을 시험편 원래 단면적으로 나눈 값
Tention Member|인장부재|구조물 중에서 주로 인장하중을 받는 부재
Tension Test|인장시험|시편에 인장하중을 가하여 재료의 변형과 강도를 측정하는 재료시험
Tensile Stress|인장응력|부재에 인장력이 걸릴 때 그 단면에 발생하는 반대방향의 응력
Expanded Metal|인장철망판|얇은 판에 프레스로 규칙적인 구멍을 내고 양단을 잡아당겨 만든 철망판
Allowable Limits of Vibration to Human Body|인체진동허용한계|인체에 불쾌감이나 작업능률저하를 일으키지 않는 진동의 한계값
Flash Tester|인화점시험기|인화점 측정에 사용되는 시험기
Batch Purification|일괄청정|사용할 기름을 세틀링탱크에 한데 모아서 청정하는 방법
Distortion|일그러짐|과대한 힘으로 발생하는 재료의 뒤틀림
First Engineer|일등기관사|기관장을 보좌하여 기관부원을 지휘 통제하는 기관부 선임자
Electro-slag Welding|일렉트로 슬래그 용접|슬래그의 저항열에 의하여 용융된 슬래그와 용융금속이 용접부에서 흘러나오지 못하게 둘러 싼 용융 풀에 용접봉을 연속적으로 공급하여 위로 진행시키는 용접법
Service Air Reservoir|일반용공기탱크|일반용 압축공기를 저장하는 탱크
Work Ratio|일비|가스터빈의 출력과 유효하게 쓰여진 일의 비
Single Point Mooring Buoy|일점계류부이|일점계류에 사용되는 부이
Solid Propeller|일체 프로펠러|허브와 날개가 일체로 주조된 프로펠러
Solid Casting|일체주물|하나의 주물을 분할하여 주조하지 않고 한 덩어리의 주물로 한 것
Solid Crank|일체크랭크|몇 조각으로 나누이지 않고 하나의 덩어리로 된 크랭크
Single Screw Vessel|일축선|추진축이 하나인 선박
Provisional Classification Certificate|임시선급증서|선급증서가 발급되기 전에 선급에 등록되었음을 증명하는 선급증서
Temporary Source of Emergency Power|임시전원|비상전기의 전압이 오를 때까지 임시로 사용하는 축전지 전원
Docking|입거|배를 독에다 넣는 것
Docking Survey|입거검사|선급에 등록된 선박이 5년 이내에 최소한 두번 입거하거나 선대에 상가하여 받는 검사
Grain|입자|금속조직을 구성하는 하나 하나의 결정체
Beacon|입표|바다의 암초나 얕은 곳에 세워지는 점등장치 없는 항해표시
Ingot Steel|잉곳강|선철에서 불순물과 탄소를 산화제거하여 인성을 높인 강
Residuary Resistance|잉여저항|선체의 저항에서 마찰저항으로 정의될 수 있는 부분을 제외한 나머지 저항성분
Shingle Ballast|자갈밸러스트|선체중심을 낮추기 위하여 배바닥에 채우는 자갈고정짐
Magnetic Variation|자기변동|지구의 남북극과 자극이 일치하지 않기 때문에 생기는 진북과 자극 간의 차
Magnetic Sensor|자기센서|해저의 자성물체를 감지하는 계기
Magnetic Blow|자기쏠림|직류용접에서 전류로 인한 자기력 때문에 불꽃이 모재와의 최단거리에서 튀지 않고 밖으로 벗어나는 현상
Direct Reversible Diesel Engine|자기역전디젤기관|캠축의 이동 등에 의해서 기관 자신을 역전시키는 장치가 있는 디젤기관
Magnetic Compass|자기컴퍼스|지자기의 수평자장을 이용하여 선박의 진로와 목표방향을 구하는 계기
Magnetic Compass Pilot|자기컴퍼스자동조타장치|침로유지의 기준으로 자기컴퍼스를 이용하여 여기서 오는 변환신호를 받아 자동으로 조타하는 장치
Magnetometric Sensing Vessel|자기탐사선|해저에 있는 잔존기뢰 등의 위험물을 탐사하는 선박
Automatic Arc Welding|자동 아크용접|아크 용접봉의 운봉이 자동으로 진행되어 연속적으로 용접되도록 고안된 용접법
Automatic Gas Cutting|자동가스절단|가스절단 토치를 적당한 구동장치에 얹어 자동으로 이동하면서 절단하는 절단법
Adjustable Side Block|자동반목|입거선박의 선저높이와 경사에 맞도록 유압 또는 기계식으로 조절되는 반목
Automatic Sprinkler System|자동살수소화장치|화재로 온도가 올라가면 자동으로 물뿌리개가 작동하여 소화하는 장치
Auto-starter|자동시동기|기계를 자동으로 시동시켜 주는 장치
Automatic Arc Welding|자동아크용접|아크길이와 용접속도 등을 자동으로 조절하는 아크용접방식
Self-activating Smoke Signal|자동연발신호|구명부이에 붙은 것으로 해면에 투하되면 자동으로 연기를 내는 신호
Automatic Welding|자동용접|용접봉의 공급 등을 자동화시킨 용접방식
Auto-plotter|자동작도기|어떤 배와 목표물의 상대적인 움직임을 시간에 따라 자동적으로 표시기에 작도 표시하는 장치
Automatic Steering|자동조타|배를 설정된 침로에 따라서 항해하도록 자동적으로 조타하는 것
Auto Pilot|자동조타장치|선박이 정해진 침로에서 벗어나지 않도록 자동적으로 침로를 유지해주는 조타장치
Car Deck|자동차갑판|자동차가 실리는 갑판
Car/Bulk Carrier|자동차겸벌크화물선|자동차나 벌크화물을 실어 나르는 배
Automatic Radar Plotting Aids : ARPA|자동충돌예방장치|레이더 정보에 의하여 충돌회피 판단에 유효한 데이터를 제공하는 장치
Automatic Control Device Operation Test|자동화기기 작동시험|자동화기기들이 설정된 조건대로 작동되는 지를 확인하는 시험
Automatic Fire Alarm System|자동화재경보장치|자동적으로 화재를 조기에 발견하여 경보를 울리는 장치
Seating Ring|자리링|추력을 받는 볼베어링에서 축이 변형되더라도 기능이 유지되게 구면으로 만든 고리모양의 베어링자리
Gill Netter|자망어선|자망을 사용해서 고기를 잡는 어선
Sister Ship|자매선|동일한 설계로 건조된 동력선
Magnetic Strainer|자석기름거르개|기름에 섞인 철분찌꺼기를 용기 내에 장치된 강력한 영구자석으로 흡착하는 거르개
Magneti Crane|자석기중기|전자석의 흡인력을 이용하여 철판 등을 달아올리는 기중기
Magneto ( Machine )|자석발전기|계자석으로 영구자석을 사용한 소형의 발전기
Natural Convector|자연대류방열기|증기 등의 열매체가 통과하는 가열관을 상자로 둘러싸서 더운 공기가 대류로 순환되도록 한 난방장치
Spontaneous Ignition|자연발화|산화되기 쉬운 물질이 대기 중에서 자연적으로 산화하여 점화되는 현상
Spontaneous Combudtion|자연연소|산화되기 쉬운 물질이 대기 중에서 자연적으로 산화하여 연소되는 현상
Free Bend|자유굽힘|부재의 양단에 크기가 같고 방향이 반대인 우력을 가했을 때 나타나는 부재의 굽힘
Free Fall Launching|자유낙하진수|인원과 장비를 실은 생존정이 조난선에서 이탈되어 해면에 낙하될 수 있도록 하는 진수방식
Open Roadstead|자유정박지|방파제 등으로 둘러 싸이지 않은 정박지
Free Port|자유항|수출입화물에 관세를 물리지 않는 항구
Gyroscope|자이로스코프|회전체의 관성을 이용하여 기준방향이나 기준면을 구하는 기기
Gyrostabilizer|자이로안정기|자이로작용을 이용하여 선체의 횡동요를 줄여주는 장치
Gyro Pilot|자이로파일럿|자이로컴퍼스의 신호를 이용하여 자동적으로 일정한 침로를 유지시켜주는 조타장치
Compass Deviation|자차|자기컴퍼스가 설치된 주변의 영향을 받아 생기는 오차
Operating Oil Tank|작동유탱크|작동유를 저장하는 탱크
Operating Oil Pump|작동유펌프|기기의 제어와 조작에 연결된 유압회로에 작동유를 공급하는 펌프
Messenger Chain|작동체인|동력전달에 사용되는 무한체인
Working Stroke|작업행정|왕복동기관에서의 팽창행정
Kedge Anchor|작은닻|묘박상태에서 선박을 조금씩 이동시킬 때 사용하는 별개의 닻
Submersible Dredger|잠수준설선|해저에서 작업하는 준설선
Submarine Rescue Ship|잠수함구조선|침몰한 잠수함에서 승무원을 구조하는 보조함
Latent Heat|잠열|물체의 상 변화에 따라 일정한 온도에서 흡수하거나 방열하는 열량
Submerged Arc Welding|잠호용접|서브머지드아크용접 참조
Cable Dynamometer|장력계|부설한 케이블의 장력을 측정하는 계기
Draw-off Hold Back Gear|장력조절기|케이블윈치로 케이블을 감아들일 때 케이블에 과도한 장력이 걸리지 않도록 조절하는 장치
General Tools|장비품|기관실에서 사용하는 일반공구와 보수부품 등
Long Bridge|장선교루|선루의 길이가 비교적 길어서 전장의 15% 이상이 되는 것
Long Crested Seas|장파정파|파장의 길이가 긴 파로서 대부분의 성분파가 같은 쪽으로 진행하는 물결
Regenerative Cycle|재생사이클|열기관에 공급된 증기 중 일부를 팽창 도중에 추출하여 급수의 가열에 사용함으로써 효율을 높인 사이클
Jacket Cooling Fresh Water Pump|재킷냉각청수펌프|내연기관의 실린더재킷 등에 청수를 보내는 펌프
Jacet Cooling Fresh Water Cooler|재킷청수냉각기|내연기관의 실린더재킷 냉각용 청수를 해수로 냉각시켜 주는 열교환기
Dead Weight : DWT|재화중량|만재흘수량에서 경하흘수량을 뺀 나머지 중량
Journal|저널|축이 지지되는 부분
Journal Bearing|저널베어링|축의 저널부분을 받치는 평베어링
Sunken Superstructure|저선루|선루의 높이가 보통의 배보다 낮고 선루 내의 상갑판이 연속되지 않는 선루
Raised Quarter Deck|저선미루갑판|저선미루의 갑판
Sunken Forecastle Deck|저선수루갑판|저선수루의 천정이 되는 갑판
Sharp Freezing|저온동결법|공기중에서 섭씨 -23도 이하로 저온 동결하는 방법
Low Temperature Stress Relieving|저온응력제거|잔류응력을 제거하기 위해서 높지 않은 온도까지(섭씨 300~500도) 가열했다가 서서히 식혀서 응력을 제거하는 방식
Low Temperature Embrittlement|저온취성|낮은 온도에서 나타나는 재료의 취성
Low Carbon Steel|저탄소강|탄소함량이 0.11~0.25%인 철강재
Resistance Brazing|저항납땜|재료에 전류를 흘려 전기저항열을 발생시켜 이 열로 납땜하는 방법
Resistance Test|저항시험|선체의 저항을 측정하는 (모형)시험
Resistance Welding|저항용접|용접부에 큰 전류를 보내 접촉저항에 의한 발열로 용융상태가 되면 압력을 가하여 접착하는 용접방식의 총칭
Revolution Counter|적산회전계|축의 회전수를 적산하여 지기하는 계기
Angle of Repose|적재안식각|안식각 참조
Weight on Board|적재중량|선박에 적재된 화물과 기타 물품의 중량
Port of Loading|적재항|화물을 싣는 항구
Lamination|적층|얇은 재료를 여러 겹으로 겹치는 것
Manifest|적하목록|배에 실린 화물의 명세를 기록한 서류
Stowage Factor|적하율|화물 1톤(240lbs)을 적재하는데 필요한 화물창 용적(입방피트)
Expansion Plan|전개도|다면체나 곡면체의 표면을 평면상에 펼쳐그린 도면
Developed Area|전개면적|프로펠러의 날개윤곽선으로 둘러싸인 면적에 날개 수를 곱한 넓이
Voltage Reducing Device|전격방지장치|아크용접기에 쓰이는 안전장치로서 아크가 발생하지 않을 때는 용접기의 2차 부하전압을 낮게 유지시켜줌
Electrode Wire|전극와이어|와이어 자신이 전극역할을 하는 것
Electroplating|전기도금|전기분해작용을 이용하여 금속표면에 다른 금속의 얇은 피막을 입히는 것
Electrodeposit Copper|전기동|전기분해로 석출된 동
Electric Steel|전기로강|전기로에서 정련된 철강
Electric Protection|전기방식법|선체표면에 전류를 흘려서 부식을 방지하거나 줄이는 방법
Electric Radiator|전기방열기|전력으로 발열하는 방열기
Electrolytic Corrosion|전기부식|전기분해작용으로 주변의 금속이 부식되는 현상
Electrolysis|전기분해|전해액 중에서 전류에 의해 용액이 분해되거나 전극에 금속이 석출되는 현상
Electric Brazing|전기브레이징|전열을 이용한 경납땜
Electric Smoke Indicator|전기식매연지시기|보일러 등에서 불완전연소로 발생되는 연기의 색과 농도를 광도에 의해 측정하는 전기장치
Electric Thermostat|전기식온도조절기|전기적 특성을 이용하여 온도에 따라서 전력을 차단하거나 공급하게 만든 장치
Electric Steering Telegraph|전기식조타텔리그래프|선미루갑판이나 조타기실과 조타실 사이에서 조타기의 조작에 대하여 명령 응답하는 통신장치
Electric Rudder Angle Indicator|전기식타각지시기|타의 방향과 각도를 원격 지시하는 장치
Electric Propeller Shaft Revolution Indicator|전기식프로펠러회전계|프로펠러 축의 분당회전수와 회전방향을 원격지시하는 계기
Electric Draft Gauge|전기식흘수계|선수와 선미의 흘수를 감지하고 동시에 평균흘수나 배수량 등을 계측하는 장치
Electric Safety Lamp|전기안전등|전지식 핸드램프로 세 시간 점등가능한 승인된 형식의 등기구
Electric Welding|전기용접|전기적 발열현상을 이용하는 용접방식의 총칭
Electric Resisrance Welding|전기저항용접|전기의 접촉저항을 이용하여 용접부를 가열시키면서 접촉부에 압력을 가하여 용접하는 방법
Electric Ignition Engine|전기점화기관|가솔린기관 처럼 실린더 내의 연료에 전기 스파크로 점화하여 연소시키는 방식의 기관
Front Bulkhead|전단격벽|어떤 구획의 앞쪽에 위치한 격벽
Shearing Machine|전단기|작두와 같이 전단력을 이용하여 재료를 절단하는 공작기계
Shear Foece|전단력|물체의 단면에 평행하게 작용하는 힘
Shear Stress|전단응력|단위면적당 작용하는 전단력
Shear Vibration|전단진동|전단변형이 나타나는 진동
Shear Fracture|전단파괴|전단력에 의해서 일어나는 파괴
Delivered Power|전달동력|프로펠러에 전달되는 동력
Delivered Output|전달출력|전달동력과 동일
Conductivity|전도율|물체 내를 통하여 열이 전달되는 정도를 나타낸 값
Motor|전동기|전기적에너지를 기계적에너지로 전환시키는 회전기계
Motor Siren|전동사이렌|전동기로 소리를 내는 장치
Motor Fan|전동송풍기|전동기로 구동되는 송풍기
Electric Windlass|전동식윈드러스|전동기로 작동되는 윈드러스
Electric Winch|전동식윈치|전동기로 작동되는 윈치
Electro-hydraulic Steering Gear|전동유압식조타장치|전동유압펌프에서 나오는 유압을 이용하여 조타하는 장치
Electric Steering Engine|전동조타기|전동기로 쿼드런트를 돌려 기계적으로 타를 움직이는 장치
Trnsmission Shaft Loose Joint|전동축신축이음쇠|여러가지 관의 밸브 개폐에 사용하는 전동축의 신축변형을 허용하는 이음쇠
Wattmeter|전력계|전류계와 전압계의 원리를 병용하여 전기회로에서 전력을 직접 측정하는 계기
Upsetting Moment|전복모멘트|배를 직립 평형위치로부터 어떤 각도까지 경사시키는 데 필요한 모멘트
Full Load|전부하|주기의 연속운전이 가능한 정격 최대출력을 내는 상태
Full Speed|전속|기관을 최대로 출력할 때 얻는 속력
Voltage Regulator|전압조정기|회로 중의 어떤 위치에서 전위차가 일정하도록 유지해 주는 기기
Heating Surface|전열면|보일러 및 열교환기에서 열교환이 일어나는 표면
All Welded Metal Test Specimen|전용착금속시험편|용착금속으로만 만들어진 금속시험편
Electromagnetic Brake|전자기식제동기|자기력을 응용하는 제동기
Electromagnetic Coupling|전자기식커플링|전자력을 이용한 동력전달 클러치의 일종
Electromagnetic Log|전자로그|선저에 돌출된 자계발생장치에서 발생된 자계가 선체와 해수의 상대적 흐름에 따라 변하는 성질을 이용하여 배의 속도와 운항거리를 측정하는 장치
Electronic Buzzer|전자부저|전자회로를 이용하여 전기진동을 일으켜 가청음을 발생시키는 장치
Electron Beam Welding|전자빔용접|진공 속에서 음극에서 발생된 전자빔을 고전압으로 가속하여 용접부에 충돌시킴으로써 용접부를 융합시키는 고에너지용접방법
Electromagnetic Electrokinematograph|전자해류계|해수중의 전위차를 계측하여 심해표면 유속을 측정하는 계기
Total Redidtance|전저항|잔잔한 물 위를 달리는 배가 물과 공기로부터 받는 저항
All-round Light|전주등|해상충돌예빙규정에 따라 수평방향으로 360도 비추는 등기구
Ahead|전진|배가 앞으로 나아 가는 것
Forward Welding|전진용접|용착금속이 형성되는 방향과 용접열원(용접봉)의 이동방향이 일치되는 용접
Full Power|전출력|배가 어떤 상황에서 안전하게 연속사용할 수 있는 최대 출력
Eull Power Trial|전출력시운전|기관을 전출력으로 운전하는 시운전
Hard Starboard|전타우회전|타각이 최대한도(35도)에 도달할 때까지 타를 오른쪽으로 돌릴 것을 지시하는 조타명령
Hard Port|전타좌회전|타각이 최대한도(35도)에 도달할 때까지 타를 왼쪽으로 돌릴 것을 지시하는 조타명령
Through Beam|전통보|선체의 현측에서 현측까지 연속된 보
Ship`s Speed Radio Measuring Equipment|전파식선박속도측정장치|전파의 정속성을 이용하여 선박의 속도를 측정하는 장치
Full Load|전하중|구조물이나 원동기 등에서 사용할 수 있도록 계획된 최대하중 또는 부하
Electrolite|전해질|물질자체로나 용액이 되었을 때 이온상태로 해리되어 전기적 전도성을 갖는 화합물
Converter|전환장치|교류전기를 직류로 또는 직류전기를 교류로 바꿔주는 장치
Surging|전후동요|선체의 길이방향수평축에 의한 직선왕복운동
Cutting Shoulder|절단 턱|가스절단에 잘린 윗쪽 모서리
Cutting Flame|절단염|금속재료를 가스로 절단할 때 사용하는 불꽃
Cutting Tip|절단팁|가스절단 토치 끝에 붙어 불꽃을 뿜는 화구
Cutting Tip|절단화구|가스절단에 사용되는 불꽃이 나오는 구멍
Absolute Humidity|절대습도|1kg의 기체중에 포함된 물의 중량
Insulation|절연|전기적으로 통하지 않는 것
Dielectric Strength Test|절연내력시험|어느정도의 절연성이 있는가를 확인하는 시험
Insulation Resistance|절연저항|절연물의 전기저항
Spot Heating|점가열법|용접변형을 일으킨 판재를 바로잡기 위하여 행하는 점가열 수축방법
Viscosity|점도|모양이 바뀌는 것에 저항하려는 액체의 성질
Viscosimeter|점도계|액체의 점도를 측정하는 기기
Viscous Pressure Resistance|점성압력저항|점성저항 중에 들어있는 압력저항 성분
Viscous Resistance|점성저항|유체의 점성에 기인되는 여러 현상 때문에 발생하는 저항셩분
Pitting|점식|국부적인 부식에 의하여 표면에 파인 구멍
Spot Weldimg|점용접|얇은 판을 겹쳐놓고 전극으로 누르면서 전기를 통하여 저항열에 의하여 부분용해되면서 붙게 하는 용접방법
Jumping Stopper|점핑스토퍼|키가 파도의 충걱 등에 의하여 솟구치는 것을 막기 위해 설치한 구조물
Igniter|점화기|실린더 내의 압축기체에 착화시키는 장치
Ignitability|점화성|연료가 점화되어 화염이 전파되는 성질
Ignition Timing Adjustment|점화시기조절|내연기관의 효율이 최대가 되도록 점화순간을 조절하는 것
Folding Lavatory|접는세면대|사용하지 않을 때는 접어서 격납하는 세면대
Connecting Bend|접속벤드|같은 선상에 놓여있지 않는 두 관을 연결할 때 사용하는 굽어진 이음관 토막
Alongside Pier|접안|배를 안벽에 대는 것
Earth Wire|접지선|전기회로나 전기기기를 대지와 연결시켜주는 전선
Earthened Distribution Systrem|접지식배선방식|이상전압으로 인한 기기나 선로의 고장을 방지하기 위하여 발전기나 변압기의 중성점을 접지하여 배선하는 방식
Ground Connection|접지접속|아크용접에서 케이블선을 통한 용접전원과 모재를 연결하는 전기적 접속
Bond|접착제|두 물체를 접착하는데 사용되는 재료
Contactor|접촉기|전기회로의 제어나 기타 제어의 빈도가 높은 단속점에 사용되는 전기조작 개폐기
Alongside Ship|접현|배가 서로 뱃전을 맞대는 것
Rated Output|정격출력|제작자가 보증하는 사용한도를 출력으로 표시한 것
Straight Poiarity|정극성|직류아크용접에서 모재가 양극이 되고 용접봉이 음극이 되게 하는 극성
Special Survey|정기검사|선박과 인명의 안전을 위하여 정기적으로 실시하는 정밀검사
Liner|정기선|일정한 항로를 정기적으로 운항하는 배
Passenger Liner|정기여객선|일정한 항로를 정기적으로 운항하는 여객선
Main Frame|정늑골재|단저구조에서 용골부터 갑판까지 외판에 따라 붙여진 횡보강재
Tonnage Measurement|정량측도|선박의 용적톤수를 결정하기 위한 측정
Commutation|정류|교류를 직류로 바꿔주는 것
Face Lathe|정면선반|지름이 크고 짧은 가공물을 다루는 선반으로 베드가 짧고 지름이 크며 중심지지대가 없음
Precise Ship Posiyion Measuring|정밀선위측정장치|육상에서 떨어진 거리를 전파 등으로 계측하여 선박위치를 정밀하게 측정하는 장치
Investment Casting|정밀주조|주조 후에 가공이나 다듬질을 하지 않도록 깨끗하게 주조하는 것
Precise Echo Sounder|정밀측심기|음파반사를 이용하여 정밀하게 수심을 측정하는 장치
